symbol,expiration_date,strike_price,type,underlying_ticker,exercise_style,primary_exchange,delta,gamma,theta,vega,rho
O:AAPL251114C00250000,2025-11-14,250.0,call,AAPL,american,BATO,1.0,0.0,-0.03422312681524625,0.0,0.03422312681524625
O:AAPL251114C00252500,2025-11-14,252.5,call,AAPL,american,BATO,1.0,0.0,-0.034565358083398716,0.0,0.03456535808339871
O:AAPL251114C00255000,2025-11-14,255.0,call,AAPL,american,BATO,1.0,0.0,-0.03490758935155118,0.0,0.03490758935155117
O:AAPL251114C00257500,2025-11-14,257.5,call,AAPL,american,BATO,1.0,0.0,-0.03524982061970364,0.0,0.03524982061970364
O:AAPL251114C00260000,2025-11-14,260.0,call,AAPL,american,BATO,1.0,0.0,-0.0355920518878561,0.0,0.0355920518878561
O:AAPL251114C00262500,2025-11-14,262.5,call,AAPL,american,BATO,1.0,0.0,-0.035934283156008565,0.0,0.035934283156008565
O:AAPL251114C00265000,2025-11-14,265.0,call,AAPL,american,BATO,1.0,0.0,-0.03627651442416103,0.0,0.03627651442416103
O:AAPL251114C00267500,2025-11-14,267.5,call,AAPL,american,BATO,1.0,8.21e-321,-0.036618745692313485,1.0401e-319,0.036618745692313485
O:AAPL251114C00270000,2025-11-14,270.0,call,AAPL,american,BATO,1.0,2.081312324e-314,-0.03696097696046595,2.63620876473e-313,0.03696097696046595
O:AAPL251114C00272500,2025-11-14,272.5,call,AAPL,american,BATO,1.0,3.972565875617678e-308,-0.03730320822861841,5.0316873927999175e-307,0.03730320822861841
O:AAPL251114C00275000,2025-11-14,275.0,call,AAPL,american,BATO,1.0,5.747401763825129e-302,-0.03764543949677088,7.2797103690315505e-301,0.03764543949677088
O:AAPL251114C00277500,2025-11-14,277.5,call,AAPL,american,BATO,1.0,6.342843043518213e-296,-0.03798767076492334,8.033901608143096e-295,0.03798767076492334
O:AAPL251114C00280000,2025-11-14,280.0,call,AAPL,american,BATO,1.0,5.372416731459611e-290,-0.0383299020330758,6.804750980334474e-289,0.038329902033075805
O:AAPL251114C00282500,2025-11-14,282.5,call,AAPL,american,BATO,1.0,3.513252467136287e-284,-0.03867213330122826,4.449916930292376e-283,0.03867213330122826
O:AAPL251114C00285000,2025-11-14,285.0,call,AAPL,american,BATO,1.0,1.7840455683216014e-278,-0.039014364569380726,2.259688039259665e-277,0.03901436456938072
O:AAPL251114C00287500,2025-11-14,287.5,call,AAPL,american,BATO,1.0,7.074369461347715e-273,-0.03935659583753319,8.960459497764114e-272,0.03935659583753319
O:AAPL251114C00290000,2025-11-14,290.0,call,AAPL,american,BATO,1.0,2.2024759620535133e-267,-0.039698827105685654,2.7896757104088077e-266,0.03969882710568565
O:AAPL251114C00292500,2025-11-14,292.5,call,AAPL,american,BATO,1.0,5.412071549355927e-262,-0.04004105837383812,6.854978126597124e-261,0.04004105837383811
O:AAPL251114C00295000,2025-11-14,295.0,call,AAPL,american,BATO,1.0,1.0550315894663134e-256,-0.04038328964199058,1.336312427266646e-255,0.040383289641990575
O:AAPL251114C00297500,2025-11-14,297.5,call,AAPL,american,BATO,1.0,1.6397343909709736e-251,-0.04072552091014304,2.0769022140649188e-250,0.04072552091014304
O:AAPL251114C00300000,2025-11-14,300.0,call,AAPL,american,BATO,1.0,2.041655132707261e-246,-0.0410677521782955,2.585978612649454e-245,0.041067752178295495
O:AAPL251114C00302500,2025-11-14,302.5,call,AAPL,american,BATO,1.0,2.0461019747533493e-241,-0.041409983446447966,2.5916110224726383e-240,0.04140998344644796
O:AAPL251114C00305000,2025-11-14,305.0,call,AAPL,american,BATO,1.0,1.6580053744019508e-236,-0.04175221471460043,2.1000444047452455e-235,0.04175221471460042
O:AAPL251114C00307500,2025-11-14,307.5,call,AAPL,american,BATO,1.0,1.091140708480072e-231,-0.042094445982752894,1.3820485596796521e-230,0.042094445982752894
O:AAPL251114C00310000,2025-11-14,310.0,call,AAPL,american,BATO,1.0,5.857074410790285e-227,-0.04243667725090535,7.418622722494729e-226,0.04243667725090536
O:AAPL251114C00312500,2025-11-14,312.5,call,AAPL,american,BATO,1.0,2.57515484351791e-222,-0.042778908519057815,3.2617141077923654e-221,0.042778908519057815
O:AAPL251114C00315000,2025-11-14,315.0,call,AAPL,american,BATO,1.0,9.311428555126333e-218,-0.04312113978721028,1.1793938511466841e-216,0.04312113978721028
O:AAPL251114C00317500,2025-11-14,317.5,call,AAPL,american,BATO,1.0,2.7799652736725893e-213,-0.04346337105536274,3.5211288265383426e-212,0.04346337105536274
O:AAPL251114C00320000,2025-11-14,320.0,call,AAPL,american,BATO,1.0,6.879325881154602e-209,-0.0438056023235152,8.71341555834759e-208,0.0438056023235152
O:AAPL251114C00322500,2025-11-14,322.5,call,AAPL,american,BATO,1.0,1.4163299534950917e-204,-0.044147833591667664,1.7939361596962999e-203,0.044147833591667664
O:AAPL251114C00325000,2025-11-14,325.0,call,AAPL,american,BATO,1.0,2.4348957186063886e-200,-0.044490064859820135,3.0840606483811434e-199,0.04449006485982013
O:AAPL251114C00330000,2025-11-14,330.0,call,AAPL,american,BATO,1.0,4.24950120345337e-192,-0.045174527396125055,5.382456150655972e-191,0.04517452739612505
O:AAPL251114C00335000,2025-11-14,335.0,call,AAPL,american,BATO,1.0,3.7582850060943937e-184,-0.04585898993242998,4.760277331026965e-183,0.04585898993242998
O:AAPL251114C00340000,2025-11-14,340.0,call,AAPL,american,BATO,1.0,1.7286279799339533e-176,-0.046543452468734904,2.1894956272115834e-175,0.0465434524687349
O:AAPL251114C00345000,2025-11-14,345.0,call,AAPL,american,BATO,1.0,4.2381166596778126e-169,-0.04722791500503983,5.368036385903967e-168,0.047227915005039825
O:AAPL251114C00350000,2025-11-14,350.0,call,AAPL,american,BATO,1.0,5.669863212805731e-162,-0.04791237754134475,7.181499348286773e-161,0.047912377541344746
O:AAPL251114C00355000,2025-11-14,355.0,call,AAPL,american,BATO,1.0,4.232253198177695e-155,-0.04859684007764968,5.360609673237126e-154,0.04859684007764967
O:AAPL251114C00360000,2025-11-14,360.0,call,AAPL,american,BATO,1.0,1.8004208561162073e-148,-0.0492813026139546,2.2804291249280752e-147,0.0492813026139546
O:AAPL251114C00365000,2025-11-14,365.0,call,AAPL,american,BATO,1.0,4.4539452186227156e-142,-0.04996576515025953,5.641406764911311e-141,0.04996576515025953
O:AAPL251114C00370000,2025-11-14,370.0,call,AAPL,american,BATO,1.0,6.531856812153003e-136,-0.05065022768656446,8.273308134424399e-135,0.05065022768656445
O:AAPL251114C00375000,2025-11-14,375.0,call,AAPL,american,BATO,1.0,5.783804965276856e-130,-0.05133469022286938,7.325818988885143e-129,0.05133469022286938
O:AAPL251114C00380000,2025-11-14,380.0,call,AAPL,american,BATO,1.0,3.1468383765254434e-124,-0.052019152759174306,3.9858135729165435e-123,0.0520191527591743
O:AAPL251114C00385000,2025-11-14,385.0,call,AAPL,american,BATO,1.0,1.0697272626211265e-118,-0.05270361529547923,1.354926098041906e-117,0.05270361529547922
O:AAPL251114C00390000,2025-11-14,390.0,call,AAPL,american,BATO,1.0,2.3085458873515055e-113,-0.053388077831784155,2.924024824454437e-112,0.053388077831784155
O:AAPL251114C00395000,2025-11-14,395.0,call,AAPL,american,BATO,1.0,3.2113895720701354e-108,-0.054072540368089075,4.067574693306243e-107,0.05407254036808908
O:AAPL251114C00400000,2025-11-14,400.0,call,AAPL,american,BATO,1.0,2.9219242409253456e-103,-0.054757002904394,3.700935321429891e-102,0.054757002904394
O:AAPL251114P00110000,2025-11-14,110.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00120000,2025-11-14,120.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00125000,2025-11-14,125.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00130000,2025-11-14,130.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00135000,2025-11-14,135.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00140000,2025-11-14,140.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00145000,2025-11-14,145.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00150000,2025-11-14,150.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00155000,2025-11-14,155.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00160000,2025-11-14,160.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00165000,2025-11-14,165.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00170000,2025-11-14,170.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00175000,2025-11-14,175.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00180000,2025-11-14,180.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00185000,2025-11-14,185.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00190000,2025-11-14,190.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00195000,2025-11-14,195.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00200000,2025-11-14,200.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00205000,2025-11-14,205.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00210000,2025-11-14,210.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00215000,2025-11-14,215.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00220000,2025-11-14,220.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00222500,2025-11-14,222.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00225000,2025-11-14,225.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00227500,2025-11-14,227.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00230000,2025-11-14,230.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00232500,2025-11-14,232.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00235000,2025-11-14,235.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00237500,2025-11-14,237.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00240000,2025-11-14,240.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00242500,2025-11-14,242.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00245000,2025-11-14,245.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00247500,2025-11-14,247.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00250000,2025-11-14,250.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00252500,2025-11-14,252.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00255000,2025-11-14,255.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00257500,2025-11-14,257.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00260000,2025-11-14,260.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00262500,2025-11-14,262.5,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00265000,2025-11-14,265.0,put,AAPL,american,BATO,-0.0,0.0,0.0,0.0,-0.0
O:AAPL251114P00267500,2025-11-14,267.5,put,AAPL,american,BATO,-0.0,8.21e-321,-2.13614e-319,1.0401e-319,-0.0
O:AAPL251114P00270000,2025-11-14,270.0,put,AAPL,american,BATO,-0.0,2.081312324e-314,-5.4142586396e-313,2.63620876473e-313,-0.0
O:AAPL251114P00272500,2025-11-14,272.5,put,AAPL,american,BATO,-1.7061870326374974e-308,3.972565875617678e-308,-1.0318412296631618e-306,5.0316873927999175e-307,-1.569223367043696e-309
O:AAPL251114P00275000,2025-11-14,275.0,put,AAPL,american,BATO,-2.493675789670707e-302,5.747401763825129e-302,-1.4928170155020874e-300,7.2797103690315505e-301,-2.293511665100625e-303
O:AAPL251114P00277500,2025-11-14,277.5,put,AAPL,american,BATO,-2.780161230466438e-296,6.342843043518213e-296,-1.6474496798521474e-294,8.033901608143096e-295,-2.5570181695612884e-297
O:AAPL251114P00280000,2025-11-14,280.0,put,AAPL,american,BATO,-2.3789121044712986e-290,5.372416731459611e-290,-1.395375143320138e-288,6.804750980334474e-289,-2.187988961838014e-291
O:AAPL251114P00282500,2025-11-14,282.5,put,AAPL,american,BATO,-1.5716153498151988e-284,3.513252467136287e-284,-9.124806540410576e-283,4.449916930292376e-283,-1.4454927741378943e-285
O:AAPL251114P00285000,2025-11-14,285.0,put,AAPL,american,BATO,-8.062634483213956e-279,1.7840455683216014e-278,-4.633542849246955e-277,2.259688039259665e-277,-7.415656442003208e-280
O:AAPL251114P00287500,2025-11-14,287.5,put,AAPL,american,BATO,-3.2299755462029248e-273,7.074369461347715e-273,-1.8373328071538357e-271,8.960459497764114e-272,-2.970809917756797e-274
O:AAPL251114P00290000,2025-11-14,290.0,put,AAPL,american,BATO,-1.0159443004711689e-267,2.2024759620535133e-267,-5.72010547547979e-266,2.7896757104088077e-266,-9.344338565051281e-269
O:AAPL251114P00292500,2025-11-14,292.5,put,AAPL,american,BATO,-2.5221832894479678e-262,5.412071549355927e-262,-1.405558966623694e-260,6.854978126597124e-261,-2.31984187615967e-263
O:AAPL251114P00295000,2025-11-14,295.0,put,AAPL,american,BATO,-4.967530648118831e-257,1.0550315894663134e-256,-2.739956048095967e-255,1.336312427266646e-255,-4.569044674300428e-258
O:AAPL251114P00297500,2025-11-14,297.5,put,AAPL,american,BATO,-7.800430537890124e-252,1.6397343909709736e-251,-4.2583773244268274e-250,2.0769022140649188e-250,-7.174746648766762e-253
O:AAPL251114P00300000,2025-11-14,300.0,put,AAPL,american,BATO,-9.813091425246602e-247,2.041655132707261e-246,-5.302069668813861e-245,2.585978612649454e-245,-9.026035280408555e-248
O:AAPL251114P00302500,2025-11-14,302.5,put,AAPL,american,BATO,-9.936603467003303e-242,2.0461019747533493e-241,-5.313523866393861e-240,2.5916110224726383e-240,-9.139708938511308e-243
O:AAPL251114P00305000,2025-11-14,305.0,put,AAPL,american,BATO,-8.135665691346132e-237,1.6580053744019508e-236,-4.305598358297979e-235,2.1000444047452455e-235,-7.483258808811788e-238
O:AAPL251114P00307500,2025-11-14,307.5,put,AAPL,american,BATO,-5.4099601619984625e-232,1.091140708480072e-231,-2.8334820203106457e-230,1.3820485596796521e-230,-4.976168113391057e-233
O:AAPL251114P00310000,2025-11-14,310.0,put,AAPL,american,BATO,-2.934339042862214e-227,5.857074410790285e-227,-1.5209413423254848e-225,7.418622722494729e-226,-2.699072912510821e-228
O:AAPL251114P00312500,2025-11-14,312.5,put,AAPL,american,BATO,-1.3036459525123728e-222,2.57515484351791e-222,-6.68693328587754e-221,3.2617141077923654e-221,-1.1991330568231074e-223
O:AAPL251114P00315000,2025-11-14,315.0,put,AAPL,american,BATO,-4.763326336757488e-218,9.311428555126333e-218,-2.4178634560665708e-216,1.1793938511466841e-216,-4.3814865714986456e-219
O:AAPL251114P00317500,2025-11-14,317.5,put,AAPL,american,BATO,-1.4370850676136245e-213,2.7799652736725893e-213,-7.2184928984098e-212,3.5211288265383426e-212,-1.3218954392495319e-214
O:AAPL251114P00320000,2025-11-14,320.0,put,AAPL,american,BATO,-3.593766727905986e-209,6.879325881154602e-209,-1.7862598752378512e-207,8.71341555834759e-208,-3.305734994104498e-210
O:AAPL251114P00322500,2025-11-14,322.5,put,AAPL,american,BATO,-7.477244489275118e-205,1.4163299534950917e-204,-3.677516966842588e-203,1.7939361596962999e-203,-6.878017932926814e-206
O:AAPL251114P00325000,2025-11-14,325.0,put,AAPL,american,BATO,-1.2991022469473203e-200,2.4348957186063886e-200,-6.322109038964898e-199,3.0840606483811434e-199,-1.1950021176161475e-201
O:AAPL251114P00330000,2025-11-14,330.0,put,AAPL,american,BATO,-2.3158605970849735e-192,4.24950120345337e-192,-1.1033211930981781e-190,5.382456150655972e-191,-2.130321442241418e-193
O:AAPL251114P00335000,2025-11-14,335.0,put,AAPL,american,BATO,-2.0923376916662369e-184,3.7582850060943937e-184,-9.757433798051467e-183,4.760277331026965e-183,-1.9247400874530573e-185
O:AAPL251114P00340000,2025-11-14,340.0,put,AAPL,american,BATO,-9.832659729878113e-177,1.7286279799339533e-176,-4.4877517617962266e-175,2.1894956272115834e-175,-9.045219793104198e-178
O:AAPL251114P00345000,2025-11-14,345.0,put,AAPL,american,BATO,-2.463390908002008e-169,4.2381166596778126e-169,-1.1002238218253713e-167,5.368036385903967e-168,-2.266154276415833e-170
O:AAPL251114P00350000,2025-11-14,350.0,put,AAPL,american,BATO,-3.3681495240093317e-162,5.669863212805731e-162,-1.4718413686161642e-160,7.181499348286773e-161,-3.098530386473944e-163
O:AAPL251114P00355000,2025-11-14,355.0,put,AAPL,american,BATO,-2.569923099897199e-155,4.232253198177695e-155,-1.0986004261864288e-153,5.360609673237126e-154,-2.3642479833370025e-156
O:AAPL251114P00360000,2025-11-14,360.0,put,AAPL,american,BATO,-1.1177061482395694e-148,1.8004208561162073e-148,-4.6732738998262915e-147,2.2804291249280752e-147,-1.0282750508139976e-149
O:AAPL251114P00365000,2025-11-14,365.0,put,AAPL,american,BATO,-2.8273735793204435e-142,4.4539452186227156e-142,-1.1560337193413645e-140,5.641406764911311e-141,-2.601200824170728e-143
O:AAPL251114P00370000,2025-11-14,370.0,put,AAPL,american,BATO,-4.240759298381171e-136,6.531856812153003e-136,-1.6952745212599794e-134,8.273308134424399e-135,-3.9016079026174617e-137
O:AAPL251114P00375000,2025-11-14,375.0,put,AAPL,american,BATO,-3.841294841309447e-130,5.783804965276856e-130,-1.5010461698932968e-128,7.325818988885143e-129,-3.5341684946124276e-131
O:AAPL251114P00380000,2025-11-14,380.0,put,AAPL,american,BATO,-2.138397807025053e-124,3.1468383765254434e-124,-8.16640899433731e-123,3.9858135729165435e-123,-1.9674695948525656e-125
O:AAPL251114P00385000,2025-11-14,385.0,put,AAPL,american,BATO,-7.43935037598327e-119,1.0697272626211265e-118,-2.7759090786455953e-117,1.354926098041906e-117,-6.844863508164994e-120
O:AAPL251114P00390000,2025-11-14,390.0,put,AAPL,american,BATO,-1.643429840866273e-113,2.3085458873515055e-113,-5.99025530696139e-112,2.924024824454437e-112,-1.5121384036838085e-114
O:AAPL251114P00395000,2025-11-14,395.0,put,AAPL,american,BATO,-2.340800368074376e-108,3.2113895720701354e-108,-8.332466572184493e-107,4.067574693306243e-107,-2.1538512787113703e-109
O:AAPL251114P00400000,2025-11-14,400.0,put,AAPL,american,BATO,-2.1812854552277955e-103,2.9219242409253456e-103,-7.580928038767759e-102,3.700935321429891e-102,-2.007128529027946e-104
O:AAPL251121C00100000,2025-11-21,100.0,call,AAPL,american,BATO,1.0,0.0,-0.01367613033892199,0.0,0.03282271281341277
O:AAPL251121C00105000,2025-11-21,105.0,call,AAPL,american,BATO,1.0,0.0,-0.014359936855868088,0.0,0.03446384845408341
O:AAPL251121C00110000,2025-11-21,110.0,call,AAPL,american,BATO,1.0,0.0,-0.015043743372814188,0.0,0.03610498409475405
O:AAPL251121C00115000,2025-11-21,115.0,call,AAPL,american,BATO,1.0,0.0,-0.015727549889760287,0.0,0.03774611973542469
O:AAPL251121C00120000,2025-11-21,120.0,call,AAPL,american,BATO,1.0,0.0,-0.016411356406706386,0.0,0.039387255376095325
O:AAPL251121C00125000,2025-11-21,125.0,call,AAPL,american,BATO,1.0,0.0,-0.017095162923652485,0.0,0.04102839101676596
O:AAPL251121C00130000,2025-11-21,130.0,call,AAPL,american,BATO,1.0,0.0,-0.017778969440598584,0.0,0.0426695266574366
O:AAPL251121C00135000,2025-11-21,135.0,call,AAPL,american,BATO,1.0,0.0,-0.018462775957544687,0.0,0.04431066229810725
O:AAPL251121C00140000,2025-11-21,140.0,call,AAPL,american,BATO,1.0,0.0,-0.019146582474490786,0.0,0.045951797938777884
O:AAPL251121C00145000,2025-11-21,145.0,call,AAPL,american,BATO,1.0,0.0,-0.019830388991436885,0.0,0.04759293357944852
O:AAPL251121C00150000,2025-11-21,150.0,call,AAPL,american,BATO,1.0,0.0,-0.02051419550838298,0.0,0.04923406922011916
O:AAPL251121C00155000,2025-11-21,155.0,call,AAPL,american,BATO,1.0,0.0,-0.021198002025329083,0.0,0.0508752048607898
O:AAPL251121C00160000,2025-11-21,160.0,call,AAPL,american,BATO,1.0,0.0,-0.021881808542275182,5e-324,0.05251634050146043
O:AAPL251121C00165000,2025-11-21,165.0,call,AAPL,american,BATO,1.0,1.125235426116e-311,-0.02256561505922128,3.42055975999e-310,0.05415747614213107
O:AAPL251121C00170000,2025-11-21,170.0,call,AAPL,american,BATO,1.0,1.1171754947950059e-298,-0.02324942157616738,3.396058685721462e-297,0.0557986117828017
O:AAPL251121C00175000,2025-11-21,175.0,call,AAPL,american,BATO,1.0,2.5185382131325588e-286,-0.02393322809311348,7.6560071482768e-285,0.05743974742347234
O:AAPL251121C00180000,2025-11-21,180.0,call,AAPL,american,BATO,1.0,1.425687489663757e-274,-0.02461703461005958,4.333892396454196e-273,0.05908088306414298
O:AAPL251121C00185000,2025-11-21,185.0,call,AAPL,american,BATO,1.0,2.2205192498324036e-263,-0.02530084112700568,6.7500707993857e-262,0.06072201870481362
O:AAPL251121C00190000,2025-11-21,190.0,call,AAPL,american,BATO,1.0,1.0342105645228274e-252,-0.025984647643951777,3.14385679499452e-251,0.062363154345484256
O:AAPL251121C00195000,2025-11-21,195.0,call,AAPL,american,BATO,1.0,1.5542345832509498e-242,-0.02666845416089788,4.724657746871356e-241,0.0640042899861549
O:AAPL251121C00200000,2025-11-21,200.0,call,AAPL,american,BATO,1.0,8.079932074975546e-233,-0.02735226067784398,2.4561873788947708e-231,0.06564542562682554
O:AAPL251121C00205000,2025-11-21,205.0,call,AAPL,american,BATO,1.0,1.5488588973920871e-223,-0.028036067194790074,4.7083164068242846e-222,0.06728656126749617
O:AAPL251121C00210000,2025-11-21,210.0,call,AAPL,american,BATO,1.0,1.160960175741694e-214,-0.028719873711736177,3.529158048107519e-213,0.06892769690816682
O:AAPL251121C00215000,2025-11-21,215.0,call,AAPL,american,BATO,1.0,3.5916892495221246e-206,-0.02940368022868228,1.0918237581366019e-204,0.07056883254883745
